State,Elections website?,Check registration?,Online registration? (REQUIRES STATE ID),Registering by Mail: Postmarked or received?,Registration Deadline,Absentee request forms:,Absentee Request by Mail: Postmarked or received?,Where to mail absentee request,Postmarked or received?,Other notes... 
ALABAMA,https://www.sos.alabama.gov/alabama-votes,https://myinfo.alabamavotes.gov/voterview,https://www.alabamainteractive.org/sos/voter_registration/voterRegistrationWelcome.action,Received,10/21/25,PDF to mail: https://www.sos.alabama.gov/sites/default/files/absentee-forms/GenericAbsenteeAppFillable.pdf,Received ,"depends on county, website w all counties: https://www.sos.alabama.gov/alabama-votes/absentee-ballot-application-by-county",Received (by noon if mailed in),
ALASKA*,https://www.elections.alaska.gov/voter-information/#Reg,https://myvoterportal.alaska.gov/,https://voterregistration.alaska.gov/,Received,9/30/25,Online Portal: https://absenteeballotapplication.alaska.gov/,"Received (can also email, fax)",,Postmarked (must be recieved by 10/17/25),
ARIZONA,https://azsos.gov/elections,https://my.arizona.vote/WhereToVote.aspx?s=individual&Language=en,https://servicearizona.com/VoterRegistration/selectLanguage,Received,10/20/25,Online portal: https://my.arizona.vote/Early/ApplicationLogin.aspx,Recieved by 5pm,,Received (by 7pm local time),
ARKANSAS,https://www.sos.arkansas.gov/elections/for-voters,https://www.voterview.ar-nova.org/VoterView,N/A,Postmarked,10/5/25,PDF to mail: https://www.sos.arkansas.gov/uploads/elections/Absentee_Ballot_Application_rev._8-2023_.pdf,"Received (can also email, fax)","depends on county, pdf w counties: https://www.sos.arkansas.gov/uploads/elections/ARCountyClerks.pdf",Received (by 7:30pm local time),PDF for registering: https://www.sos.arkansas.gov/uploads/elections/ArkansasVoterRegistrationApplication.pdf
CALIFORNIA,https://www.sos.ca.gov/elections/,https://voterstatus.sos.ca.gov/,https://covr.sos.ca.gov/,Postmarked,10/21/25,Contact local election official: https://www.sos.ca.gov/elections/voting-resources/county-elections-offices,N/A,,Postmarked (must be received by 11/12/24),"Absentee ballots will automatically be sent to all registered voters. If you need your ballot sent somewhere other than your usual address, contact your local election official at least one month before the election so you have time to receive the ballot."
COLORADO,https://www.coloradosos.gov/pubs/elections/main.html?_gl=1*mthc07*_ga*NjQ5NzkyOTA5LjE3MjMwODI1NTk.*_ga_JDK6PLVHDW*MTcyMzA4MjU1OC4xLjAuMTcyMzA4MjU1OC4wLjAuMA..,https://www.coloradosos.gov/voter/pages/pub/olvr/findVoterReg.xhtml,https://www.coloradosos.gov/voter/pages/pub/olvr/verifyNewVoter.xhtml,Postmarked,10/27/25,Contact local election official: https://www.coloradosos.gov/pubs/elections/Resources/CountyElectionOffices.html,N/A,,Received (by 7pm local time),"Mail ballots will automatically be sent to all registered voters. If you need your ballot sent somewhere other than your usual address, contact your local election official at least one month before the election so you have time to receive the ballot. The deadline to request a mail ballot a new address is 8 days before Election Day.

"
CONNECTICUT,https://portal.ct.gov/sots/common-elements/v5-template---redesign/elections-and-voting,https://portaldir.ct.gov/sots/LookUp.aspx,https://voterregistration.ct.gov/OLVR/welcome.do,Postmarked,10/17/25,Online portal: https://oabr-sots.ct.gov/OABR/absenteeBallotReqPortalHome.do,Received,,Received (by 8pm local),
DC (District of Columbia),https://www.dcboe.org/,https://apps.dcboe.org/VRS,https://dcboe.org/voters/register-to-vote/register-update-voter-registration,Received,,Online Portal: https://vr.dcboe.org/213115759199060,Received ,,Postmarked (must be recieved by 11/15/24),
DELAWARE,https://elections.delaware.gov/elections/elections.shtml,https://ivote.de.gov/VoterView,https://ivote.de.gov/VoterView/registrant/newregistrant,Postmarked,10/12/25,Online portal: https://ivote.de.gov/VoterView,Received,,Received (by 8pm local),
FLORIDA*,https://dos.fl.gov/elections/,https://registration.elections.myflorida.com/CheckVoterStatus,https://registertovoteflorida.gov/home,Postmarked,10/6/25,PDF to mail: https://files.floridados.gov/media/707937/ds-de-160-statewide-vote-by-mail-request-eng-fillable-eff-20240417.pdf,"Received by 5pm (can also email, fax)","Florida Division of Elections, R.A. Gray Building, Room 316, 500 South Bronough Street, Tallahasee, Florida 32399-0250",Received (by 7pm local),"Where to mail absentee ballot request form: Florida Division of Elections, R.A. Gray Building, Room 316, 500 South Bronough Street, Tallahasee, Florida 32399-0250"
GEORGIA**,https://sos.ga.gov/elections-division-georgia-secretary-states-office,https://mvp.sos.ga.gov/s/,https://mvp.sos.ga.gov/s/voter-registration?IsRegisterNow=true,Received?,10/6/25,Online portal: https://securemyabsenteeballot.sos.ga.gov/s/,Received,,Received (by 7pm local),
HAWAII,https://elections.hawaii.gov/,https://olvr.hawaii.gov/,https://olvr.hawaii.gov/,Postmarked,10/27/25,PDF to mail: https://elections.hawaii.gov/wp-content/uploads/1437358-01-Hawaii-Votes_absentee-application_Final.pdf,Received by 4:30pm,"County of Hawaii
25 Aupuni St. #1502
Hilo, HI 96720
County of Kauai
4386 Rice St. #101
Lihue, HI 96766
County of Maui
200 S. High St.
Wailuku, HI 96793
City & County of Honolulu
530 S. King St. #100
Honolulu, HI 96813",Received (by 7pm local),An official ballot will be mailed to each registered voter in Hawaii to the address listed on their voter registration record. Voters who will be away during the election may request for their ballot to be mailed to another address. Simply complete the one-time absentee application and indicate where you would like your ballot to be mailed. Your application must be received by your city or county clerk at least seven days before the election to be processed. Voted ballots must be received by mail or in person no later than 7:00 PM on the day of the election.
IDAHO*,https://sos.idaho.gov/elections-division/,https://elections.sos.idaho.gov/ElectionLink/ElectionLink/VoterSearch.aspx,https://elections.sos.idaho.gov/ElectionLink/ElectionLink/ApplicationInstructions.aspx,Postmarked,10/5/25,Online portal:  https://elections.sos.idaho.gov/ElectionLink/ElectionLink/BeginAbsenteeRequest.aspx,Received by 5pm,,Received (by 8pm local),
ILLINOIS*,https://www.elections.il.gov/,https://ova.elections.il.gov/RegistrationLookup.aspx,https://ova.elections.il.gov/,"Received? (""Postmarked prior to close of registration"")",10/19/25,By county: https://www.elections.il.gov/ElectionOperations/VotingByMailList.aspx,Received,"depends on county, website w all counties: https://www.iaccr.net/MemberCountiesMain.html",Postmarked (must be received within 2 weeks),
INDIANA,https://www.in.gov/sos/elections/,https://indianavoters.in.gov/,https://indianavoters.in.gov/,Postmarked,10/6/25,Online Portal: https://indianavoters.in.gov/MVPHome/PrintDocuments,Received,,Received (by 6pm local),
IOWA*,https://sos.iowa.gov/elections/voterinformation/index.html,https://sos.iowa.gov/elections/voterreg/regtovote/search.aspx,https://mymvd.iowadot.gov/Account/Login?ReturnUrl=%2fVoterRegistration,Postmarked,10/20/25,PDF to mail: https://sos.iowa.gov/elections/pdf/absenteeballotapp.pdf,Received by 5pm,"depends on county, website w all counties: https://sos.iowa.gov/elections/auditors/auditorslist.html or https://sos.iowa.gov/elections/auditors/auditor.asp?CountyID=00 ",Received by 8pm,
KANSAS*,https://sos.ks.gov/elections/elections.html,https://myvoteinfo.voteks.org/voterview,https://www.kdor.ks.gov/Apps/VoterReg,Postmarked,10/14/25,PDF to mail: https://sos.ks.gov/forms/elections/AV1.pdf,Received,"Kansas Secretary of State
Memorial Hall, 1st Floor
120 SW 10th Avenue
Topeka, KS 66612-1594",Postmarked (must received by 11/8/24),
KENTUCKY**,https://elect.ky.gov/Pages/default.aspx,https://vrsws.sos.ky.gov/ovrweb/govoteky,https://vrsws.sos.ky.gov/ovrweb/govoteky,Postmarked?,10/7/25,Online portal: https://vrsws.sos.ky.gov/ovrweb/govoteky,Received,,Received by 6pm,
LOUISIANA,https://www.sos.la.gov/electionsandvoting/Pages/default.aspx,https://voterportal.sos.la.gov/,https://voterportal.sos.la.gov/VoterRegistration,Postmarked,10/15/25,Online portal: https://voterportal.sos.la.gov/,Received by 4:30pm,,Received by 4:30pm,
MAINE*,https://www.maine.gov/sos/cec/elec/,N/A?,https://registertovote.sos.maine.gov/,Received,11/4/25,Online portal: https://apps.web.maine.gov/cgi-bin/online/AbsenteeBallot/index.pl,Received by 5pm,,Received by 8pm,
MARYLAND,https://elections.maryland.gov/,https://voterservices.elections.maryland.gov/VoterSearch,https://voterservices.elections.maryland.gov/OnlineVoterRegistration/InstructionsStep1,Postmarked,10/14/25,Online portal: https://voterservices.elections.maryland.gov/onlinemailinrequest/InstructionsStep1,Received ,,"Postmarked, recieved by 11/15/24, 10am",
MASSACHUSETTS*,https://www.sec.state.ma.us/divisions/elections/elections-and-voting.htm,https://www.sec.state.ma.us/VoterRegistrationSearch/MyVoterRegStatus.aspx,https://www.sec.state.ma.us/OVR/Pages/CheckEligibility.aspx?&Action=Register,Postmarked,10/25/25,PDF to mail: https://www.sec.state.ma.us/divisions/elections/download/absentee-ballot-applications/Absentee-Ballot-Application-English.pdf,"Received by 5pm (can also email, fax)",,Received ,
MICHIGAN,https://www.michigan.gov/sos/elections,https://mvic.sos.state.mi.us/Voter/Index/,https://mvic.sos.state.mi.us/RegisterVoter/Index,Postmarked,10/20/25,Online portal: https://mvic.sos.state.mi.us/AVApplication/Index,Received by 5pm (can also email),,Received by 8pm,
